character	killed by	death	type
Abductor Virgin (Swinging Sickle)	The Tarnished	Slain by the Tarnished	
Abductor Virgin (Wheel)	The Tarnished	Slain by the Tarnished	
Adan, Thief of Fire	The Tarnished	Slain by the Tarnished	
Aging Untouchables	The Tarnished	Slain by the Tarnished	
Alecto, Black Knife Ringleader	The Tarnished	Slain by the Tarnished	
Alexander, Warrior Jar	The Tarnished	Destroyed in a duel against the Tarnished	
Amy, Third Sister	The Tarnished | Millicent the Rotting	Slain by the Tarnished, assisted by Millicent the Rotting (dependent on player choice)	determinant
Anastasia, Tarnished-Eater	The Tarnished	Slain by the Tarnished	
Anastasia, Tarnished-Eater	The Tarnished	Slain by the Tarnished (revived)	revived
Anastasia, Tarnished-Eater	The Tarnished	Slain by the Tarnished (revived)	revived
Ancestor Spirit		Died from unknown causes (returned as a spirit)	physical
Ancient Dragon Gransax		Died during his assault on Leyndell	
Ancient Dragon Knight Kristoff		Died from unknown causes (returned as a spirit)	physical
Ancient Dragon Lansseax	The Tarnished	Slain by the Tarnished	
Ancient Dragon Senessax	The Tarnished	Slain by the Tarnished	
Ancient Dragon-Man	The Tarnished	Slain by the Tarnished	
Ancient Dragon-Man	The Tarnished	Slain by the Tarnished (revived)	revived
Ancient Hero of Zamor (Giant-Conquering Hero's Grave)	The Tarnished	Slain by the Tarnished	
Ancient Hero of Zamor (Sainted Hero's Grave)	The Tarnished	Slain by the Tarnished	
Ancient Hero of Zamor (Weeping Evergaol)	The Tarnished	Slain by the Tarnished	
Ash of War Scarabs	The Tarnished	Slain by the Tarnished	
Astel, Naturalborn of the Void	The Tarnished	Slain by the Tarnished	
Astel, Stars of Darkness	The Tarnished	Slain by the Tarnished	
Aurelia		Died from unknown causes (returned as a spirit)	physical
Aureliette		Died from unknown causes (returned as a spirit)	physical
Baleful Shadow	The Tarnished | Ranni the Witch	Slain by the Tarnished on orders from Ranni the Witch	
Banished Knight Engvall		Died from unknown causes (returned as a spirit)	physical
Banished Knight Oleg		Died from unknown causes (returned as a spirit)	physical
Base Serpent	The Tarnished	Slain by the Tarnished alongside Messmer	
Battlemage Hugues	The Tarnished	Slain by the Tarnished (turned into a spirit)	physical
Bayle the Dread	The Tarnished | Drake Warrior Igon	Slain by the Tarnished, assisted by Drake Warrior Igon	
Beastman of Farum Azula	The Tarnished	Slain by the Tarnished	
Beastman of Farum Azula (Cleaver)	The Tarnished	Slain by the Tarnished	
Beastman of Farum Azula (Throwing Knife)	The Tarnished	Slain by the Tarnished	
Bell Bearing Hunter	The Tarnished	Slain by the Tarnished (revived)	revived
Bell Bearing Hunter	The Tarnished	Slain by the Tarnished (revived)	revived
Bell Bearing Hunter	The Tarnished	Slain by the Tarnished (revived)	revived
Bell Bearing Hunter	The Tarnished	Slain by the Tarnished (revived)	revived
Birac	Birac	Severed his own head	
Black Blade Kindred (Bestial Sanctum)	The Tarnished	Slain by the Tarnished	
Black Blade Kindred (Forbidden Lands)	The Tarnished | Millicent the Rotting	Slain by the Tarnished, assisted by Millicent the Rotting	
Black Knife Assassin (Black Knife Catacombs)	The Tarnished | D, Hunter of the Dead	Slain by the Tarnished, assisted by D, Hunter of the Dead	
Black Knife Assassin (Deathtouched Catacombs)	The Tarnished	Slain by the Tarnished	
Black Knife Assassin (Sage's Cave)	The Tarnished	Slain by the Tarnished	
Black Knife Assassin (Sainted Hero's Grave)	The Tarnished	Slain by the Tarnished	
Black Knife Tiche		Died protecting her mother during the Night of Black Knives (returned as a spirit)	physical
Black Knight Captain Huw		Died from unknown causes (returned as a spirit)	physical
Black Knight Commander Andreas		Died from unknown causes (returned as a spirit)	physical
Black Knight Edredd	The Tarnished	Slain by the Tarnished	
Black Knight Garrew	The Tarnished	Slain by the Tarnished	
Blackflame Monk Amon		Died from unknown causes (returned as a spirit)	physical
Blackguard Big Boggart	Dung Eater	Defiled by Dung Eater using the Seedbed Curse	
Blaidd the Half-Wolf	The Tarnished	Slain by the Tarnished	
Bloodhound Knight	The Tarnished	Slain by the Tarnished	
Bloodhound Knight Darriwil	The Tarnished | Blaidd the Half-Wolf	Slain by the Tarnished, assisted by Blaidd the Half-Wolf	
Bloodhound Knight Floh		Died from unknown causes (returned as a spirit)	physical
Bloody Finger Hunter Yura	Eleonora, Violet Bloody Finger	Fatally wounded by Eleonora, Violet Bloody Finger	
Bloody Finger Nerijus	The Tarnished | Bloody Finger Hunter Yura	Slain by the Tarnished, assisted by Bloody Finger Hunter Yura	
Bloody Finger Okina	The Tarnished	Slain by the Tarnished	
Bloody Finger Ravenmount Assassin	The Tarnished | Bloody Finger Hunter Yura	Slain by the Tarnished, assisted by Bloody Finger Hunter Yura	
Boc the Seamster	Rennala, Queen of the Full Moon	Reborn as a human by Rennala, Queen of the Full Moon, perishes shortly thereafter (dependent on player choice)	determinant
Boc's Mother		Died from unknown causes	
Bols, Carian Knight	The Tarnished	Slain by the Tarnished	
Borealis the Freezing Fog	The Tarnished	Slain by the Tarnished	
Brother Corhyn	Brother Corhyn	Committed suicide (dependent on player choice)	determinant
Cemetery Shade (Black Knife Catacombs)	The Tarnished	Slain by the Tarnished	
Cemetery Shade (Caelid Catacombs)	The Tarnished	Slain by the Tarnished	
Cemetery Shade (Tombsward Catacombs)	The Tarnished	Slain by the Tarnished	
Charo		Died from unknown causes	
Chief Bloodfiend	The Tarnished	Slain by the Tarnished	
Chief Guardian Arghanthy	The Tarnished	Slain by the Tarnished	
Cleanrot Knight	The Tarnished	Slain by the Tarnished	
Cleanrot Knight (Scythe)	The Tarnished	Slain by the Tarnished	
Cleanrot Knight (Spear)	The Tarnished	Slain by the Tarnished	
Cleanrot Knight Finlay		Died from unknown causes (returned as a spirit)	physical
Commander Gaius	The Tarnished	Slain by the Tarnished	
Commander Niall	The Tarnished	Slain by the Tarnished	
Commander O'Neil	The Tarnished | Polyanna, Youngest Sister	Slain by the Tarnished, assisted by Polyanna, Youngest Sister	
Crucible Knight (Auriza Hero's Grave)	The Tarnished	Slain by the Tarnished	
Crucible Knight (Axe)		Died from unknown causes (returned as a spirit)	physical
Crucible Knight (Caelid)	The Tarnished	Slain by the Tarnished	
Crucible Knight (Deeproot Depths)	The Tarnished	Slain by the Tarnished	
Crucible Knight (Mt. Gelmir)	The Tarnished	Slain by the Tarnished	
Crucible Knight (Redmane Castle)	The Tarnished	Slain by the Tarnished	
Crucible Knight (Stormhill Evergaol)	The Tarnished	Slain by the Tarnished	
Crucible Knight (Tree)		Died from unknown causes (returned as a spirit)	physical
Crucible Knight Devonia	The Tarnished	Slain by the Tarnished	
Crucible Knight Ordovis	The Tarnished	Slain by the Tarnished	
Crucible Knight Siluria	The Tarnished	Slain by the Tarnished	
Crucible Knights (Altus Plateau)	The Tarnished	Slain by the Tarnished	
Crucible Knights (Crumbling Farum Azula)	The Tarnished	Slain by the Tarnished	
Crucible Knights (Liurnia)	The Tarnished	Slain by the Tarnished	
Crucible Knights (Siofra River)	The Tarnished	Slain by the Tarnished	
Crucible Knights (Stormhill)	The Tarnished	Slain by the Tarnished	
Crystalian	The Tarnished	Slain by the Tarnished	
Crystalian (Ringblade)	The Tarnished	Slain by the Tarnished	
Crystalian (Spear) (Academy Crystal Cave)	The Tarnished	Slain by the Tarnished	
Crystalian (Spear) (Altus Tunnel)	The Tarnished	Slain by the Tarnished	
Crystalian (Staff)	The Tarnished	Slain by the Tarnished	
Curseblade Labirith	The Tarnished	Slain by the Tarnished	
Curseblade Meera		Died from unknown causes (returned as a spirit)	physical
D, Beholder of Death	D, Beholder of Death	Committed suicide to rejoin his brother	
D, Hunter of the Dead	Fia, Deathbed Companion	Stabbed by Fia, Deathbed Companion	
Daedicar		Flayed	
Dancer of Ranah		Died from unknown causes (returned as a spirit)	physical
Death Knight (Fog Rift Catacombs)	The Tarnished	Slain by the Tarnished	
Death Knight (Scorpion River Catacombs)	The Tarnished	Slain by the Tarnished	
Death Rite Bird (Caelid)	The Tarnished	Slain by the Tarnished	
Death Rite Bird (Charo's Hidden Grave)	The Tarnished	Slain by the Tarnished	
Death Rite Bird (Consecrated Snowfields)	The Tarnished	Slain by the Tarnished	
Death Rite Bird (Liurnia of the Lakes)	The Tarnished	Slain by the Tarnished	
Death Rite Bird (Mountaintops of the Giants)	The Tarnished	Slain by the Tarnished	
Deathbird (Capital Outskirts)	The Tarnished	Slain by the Tarnished	
Deathbird (Limgrave)	The Tarnished	Slain by the Tarnished	
Deathbird (Liurnia of the Lakes)	The Tarnished	Slain by the Tarnished	
Deathbird (Weeping Peninsula)	The Tarnished	Slain by the Tarnished	
Decaying Ekzykes	The Tarnished	Slain by the Tarnished	
Demi-Human Chiefs	The Tarnished | Old Knight Istvan	Slain by the Tarnished, assisted by Old Knight Istvan	
Demi-Human Queen Gilika	The Tarnished	Slain by the Tarnished	
Demi-Human Queen Maggie	The Tarnished	Slain by the Tarnished	
Demi-Human Queen Margot	The Tarnished	Slain by the Tarnished	
Demi-Human Queen Marigga	The Tarnished	Slain by the Tarnished	
Demi-Human Swordmaster Onze	The Tarnished	Slain by the Tarnished	
Demi-Human Swordsman Yosh		Died from unknown causes (returned as a spirit)	physical
Depraved Perfumer Carmaan		Died from unknown causes (returned as a spirit)	physical
Divine Beast Dancing Lion	The Tarnished | Redmane Freyja	Slain by the Tarnished, assisted by Redmane Freyja	
Divine Bird Warrior Ornis		Died from unknown causes (returned as a spirit)	physical
Dolores the Sleeping Arrow	Preceptor Seluvis	Turned into a puppet by Preceptor Seluvis	physical
Draconic Tree Sentinel (Capital Outskirts)	The Tarnished | Great Horned Tragoth | Millicent the Rotting	Slain by the Tarnished, assisted by Great Horned Tragoth or Millicent the Rotting	
Draconic Tree Sentinel (Farum Azula)	The Tarnished	Slain by the Tarnished	
Dragon Communion Priestess	Dragon Communion Priestess	Ripped her own heart out after Bayle's defeat (dependent on player choice)	determinant
Dragon Communion Priestess	Dragon Communion Priestess	Willingly lets herself turn into a spirit (dependent on player choice)	determinant | physical
