character	killed by	caused by	death	type
Achilles (Rider)	Atalanta (Archer)		Fatally wounded by Atalanta (Archer)	
Adam (Golem Keter Malkuth)	Mordred (Saber) | Sieg		Core destroyed by Mordred (Saber) and Sieg's Noble Phantasms	
Amakusa Shirou Tokisada (Ruler)	Sieg		Fatally wounded by Sieg	
Atalanta (Archer)	Achilles (Rider)		Impaled by Achilles (Rider) with his spears	
Avi Dikhail	Jack the Ripper (Assassin)	Reika Rikudou	Burned and heart gouged out by Jack the Ripper (Assassin) on orders from Reika Rikudou	
Avicebron (Caster)	Chiron (Archer)		Shot by Chiron (Archer)	
Carl Lexarm	Jack the Ripper (Assassin)	Reika Rikudou	Throat slit and heart gouged out by Jack the Ripper (Assassin) on orders from Reika Rikudou	
Celenike Icecolle Yggdmillennia	Mordred (Saber)		Decapitated by Mordred (Saber)	
Chiron (Archer)	Achilles (Rider)		Fatally punched by Achilles (Rider)	
Darnic Prestone Yggdmillennia	Amakusa Shirou Tokisada (Ruler)		Reduced to ashes by Amakusa Shirou Tokisada (Ruler)	
Frankenstein (Berserker)	Frankenstein (Berserker)		Died after using her Noble Phantasm at the cost of her life	
Hyouma Sagara	Jack the Ripper (Assassin)	Reika Rikudou	Slain by Jack the Ripper (Assassin) on orders from Reika Rikudou	
Jack the Ripper (Assassin)	Jeanne d'Arc (Ruler)		Exorcised by Jeanne d'Arc (Ruler)	
Jeanne d'Arc (Ruler)	Jeanne d'Arc (Ruler)		Died after using her Noble Phantasm at the cost of her life	
Kairi Sisigou	Semiramis (Assassin)		Mortally poisoned by Semiramis (Assassin)	
Karna (Lancer)	Sieg		Fatally wounded by Sieg	
Mordred (Saber)	Semiramis (Assassin)		Mortally poisoned by Semiramis (Assassin)	
Pemetrekis	Jack the Ripper (Assassin)		Cut down by Jack the Ripper (Assassin)	
Reika Rikudou	Atalanta (Archer)		Shot by Atalanta (Archer)	
Roche Frain Yggdmillennia	Adam (Golem Keter Malkuth) | Avicebron (Caster)		Absorbed by Adam (Golem Keter Malkuth) while being used as a core for its creation by Avicebron (Caster)	
Semiramis (Assassin)	Mordred (Saber)		Fatally wounded by Mordred (Saber)	
Siegfried (Saber)	Siegfried (Saber)		Ripped his own heart out	
Spartacus (Berserker)	Spartacus (Berserker)		Died after using his Noble Phantasm at the cost of his life	
Vlad III (Lancer) (Apocrypha)	Amakusa Shirou Tokisada (Ruler)		Reduced to ashes by Amakusa Shirou Tokisada (Ruler)	
William Shakespeare (Caster)		Sieg	Disappeared after his master Amakusa Shirou's death at the hands of Sieg	
