character	killed by	caused by	death	type
Abductor Virgin (Swinging Sickle)	The Tarnished		Slain by the Tarnished	
Abductor Virgin (Wheel)	The Tarnished		Slain by the Tarnished	
Adan, Thief of Fire	The Tarnished		Slain by the Tarnished	
Alecto, Black Knife Ringleader	The Tarnished		Slain by the Tarnished	
Anastasia, Tarnished-Eater	The Tarnished		Slain by the Tarnished	
Anastasia, Tarnished-Eater	The Tarnished		Slain by the Tarnished (revived)	temporary
Anastasia, Tarnished-Eater	The Tarnished		Slain by the Tarnished (revived)	temporary
Ancestor Spirit	The Tarnished		Slain by the Tarnished	
Ancient Dragon Lansseax	The Tarnished		Slain by the Tarnished	
Ancient Dragon Senessax	The Tarnished		Slain by the Tarnished	
Ancient Dragon-Man	The Tarnished		Slain by the Tarnished	
Ancient Dragon-Man	The Tarnished		Slain by the Tarnished (revived)	temporary
Ancient Hero of Zamor (Giant-Conquering Hero's Grave)	The Tarnished		Slain by the Tarnished	
Ancient Hero of Zamor (Sainted Hero's Grave)	The Tarnished		Slain by the Tarnished	
Ancient Hero of Zamor (Weeping Evergaol)	The Tarnished		Slain by the Tarnished	
Astel, Naturalborn of the Void	The Tarnished		Slain by the Tarnished	
Astel, Stars of Darkness	The Tarnished		Slain by the Tarnished	
Baleful Shadow	The Tarnished		Slain by the Tarnished	
Battlemage Hugues	The Tarnished		Slain by the Tarnished (turned into a Spirit Summon)	physical
Bayle the Dread	The Tarnished		Slain by the Tarnished	
Beastman of Farum Azula	The Tarnished		Slain by the Tarnished	
Beastman of Farum Azula (Cleaver)	The Tarnished		Slain by the Tarnished	
Beastman of Farum Azula (Throwing Knife)	The Tarnished		Slain by the Tarnished	
Bell Bearing Hunter	The Tarnished		Slain by the Tarnished (revived)	temporary
Bell Bearing Hunter	The Tarnished		Slain by the Tarnished (revived)	temporary
Bell Bearing Hunter	The Tarnished		Slain by the Tarnished (revived)	temporary
Bell Bearing Hunter	The Tarnished		Slain by the Tarnished (revived)	temporary
Black Blade Kindred (Bestial Sanctum)	The Tarnished		Slain by the Tarnished	
Black Blade Kindred (Forbidden Lands)	The Tarnished		Slain by the Tarnished	
Black Knife Assassin (Black Knife Catacombs)	The Tarnished		Slain by the Tarnished	
Black Knife Assassin (Deathtouched Catacombs)	The Tarnished		Slain by the Tarnished	
Black Knife Assassin (Sage's Cave)	The Tarnished		Slain by the Tarnished	
Black Knife Assassin (Sainted Hero's Grave)	The Tarnished		Slain by the Tarnished	
Black Knight Edredd	The Tarnished		Slain by the Tarnished	
Black Knight Garrew	The Tarnished		Slain by the Tarnished	
Blaidd the Half-Wolf	The Tarnished		Slain by the Tarnished	
Bloodhound Knight	The Tarnished		Slain by the Tarnished	
Bloodhound Knight Darriwil	The Tarnished		Slain by the Tarnished	
Bloody Finger Nerijus	The Tarnished | Bloody Finger Hunter Yura		Slain by the Tarnished, assisted by Bloody Finger Hunter Yura	
Bloody Finger Okina	The Tarnished		Slain by the Tarnished	
Bloody Finger Ravenmount Assassin	The Tarnished | Bloody Finger Hunter Yura		Slain by the Tarnished, assisted by Bloody Finger Hunter Yura	
Bols, Carian Knight	The Tarnished		Slain by the Tarnished	
Borealis the Freezing Fog	The Tarnished		Slain by the Tarnished	
Castellan Jerren	The Tarnished | Sorceress Sellen		Slain by the Tarnished, assisted by Sorceress Sellen (dependent on player choice)	variable
Cemetery Shade (Black Knife Catacombs)	The Tarnished		Slain by the Tarnished	
Cemetery Shade (Caelid Catacombs)	The Tarnished		Slain by the Tarnished	
Cemetery Shade (Tombsward Catacombs)	The Tarnished		Slain by the Tarnished	
Chief Bloodfiend	The Tarnished		Slain by the Tarnished	
Chief Guardian Arghanthy	The Tarnished		Slain by the Tarnished	
Cleanrot Knight	The Tarnished		Slain by the Tarnished	
Cleanrot Knight (Scythe)	The Tarnished		Slain by the Tarnished	
Cleanrot Knight (Spear)	The Tarnished		Slain by the Tarnished	
Commander Gaius	The Tarnished		Slain by the Tarnished	
Commander Niall	The Tarnished		Slain by the Tarnished	
Commander O'Neil	The Tarnished		Slain by the Tarnished	
Crucible Knight (Auriza Hero's Grave)	The Tarnished		Slain by the Tarnished	
Crucible Knight (Axe)			Died from unknown causes (returned as a spirit)	physical
Crucible Knight (Caelid)	The Tarnished		Slain by the Tarnished	
Crucible Knight (Deeproot Depths)	The Tarnished		Slain by the Tarnished	
Crucible Knight (Mt. Gelmir)	The Tarnished		Slain by the Tarnished	
Crucible Knight (Redmane Castle)	The Tarnished		Slain by the Tarnished	
Crucible Knight (Stormhill Evergaol)	The Tarnished		Slain by the Tarnished	
Crucible Knight (Tree)			Died from unknown causes (returned as a spirit)	physical
Crucible Knight Devonia	The Tarnished		Slain by the Tarnished	
Crucible Knight Ordovis	The Tarnished		Slain by the Tarnished	
Crucible Knight Siluria	The Tarnished		Slain by the Tarnished	
Crucible Knights (Altus Plateau)	The Tarnished		Slain by the Tarnished	
Crucible Knights (Crumbling Farum Azula)	The Tarnished		Slain by the Tarnished	
Crucible Knights (Liurnia)	The Tarnished		Slain by the Tarnished	
Crucible Knights (Siofra River)	The Tarnished		Slain by the Tarnished	
Crucible Knights (Stormhill)	The Tarnished		Slain by the Tarnished	
Crystalian	The Tarnished		Slain by the Tarnished	
Crystalian (Ringblade)	The Tarnished		Slain by the Tarnished	
Crystalian (Spear) (Academy Crystal Cave)	The Tarnished		Slain by the Tarnished	
Crystalian (Spear) (Altus Tunnel)	The Tarnished		Slain by the Tarnished	
Crystalian (Staff)	The Tarnished		Slain by the Tarnished	
Curseblade Labirith	The Tarnished		Slain by the Tarnished	
D, Beholder of Death	The Tarnished		Slain by the Tarnished (dependent on player choice)	variable
Dancer of Ranah	The Tarnished		Slain by the Tarnished	
Death Knight (Fog Rift Catacombs)	The Tarnished		Slain by the Tarnished	
Death Knight (Scorpion River Catacombs)	The Tarnished		Slain by the Tarnished	
Death Rite Bird (Caelid)	The Tarnished		Slain by the Tarnished	
Death Rite Bird (Charo's Hidden Grave)	The Tarnished		Slain by the Tarnished	
Death Rite Bird (Consecrated Snowfields)	The Tarnished		Slain by the Tarnished	
Death Rite Bird (Liurnia of the Lakes)	The Tarnished		Slain by the Tarnished	
Death Rite Bird (Mountaintops of the Giants)	The Tarnished		Slain by the Tarnished	
Deathbird (Capital Outskirts)	The Tarnished		Slain by the Tarnished	
Deathbird (Limgrave)	The Tarnished		Slain by the Tarnished	
Deathbird (Liurnia of the Lakes)	The Tarnished		Slain by the Tarnished	
Deathbird (Weeping Peninsula)	The Tarnished		Slain by the Tarnished	
Decaying Ekzykes	The Tarnished		Slain by the Tarnished	
Demi-Human Chiefs	The Tarnished		Slain by the Tarnished	
Demi-Human Queen Gilika	The Tarnished		Slain by the Tarnished	
Demi-Human Queen Maggie	The Tarnished		Slain by the Tarnished	
Demi-Human Queen Margot	The Tarnished		Slain by the Tarnished	
Demi-Human Queen Marigga	The Tarnished		Slain by the Tarnished	
Demi-Human Swordmaster Onze	The Tarnished		Slain by the Tarnished	
Divine Beast Dancing Lion	The Tarnished		Slain by the Tarnished	
Draconic Tree Sentinel (Capital Outskirts)	The Tarnished		Slain by the Tarnished	
Draconic Tree Sentinel (Farum Azula)	The Tarnished		Slain by the Tarnished	
Dragonkin Soldier (Lake of Rot)	The Tarnished		Slain by the Tarnished	
Dragonkin Soldier (Siofra River)	The Tarnished		Slain by the Tarnished	
Dragonkin Soldier of Nokstella	The Tarnished		Slain by the Tarnished	
Dragonlord Placidusax	The Tarnished		Slain by the Tarnished	
Dryleaf Dane	The Tarnished		Slain by the Tarnished (revived)	temporary
Dryleaf Dane	The Tarnished | Sanguine Noble Nataan | Sir Ansbach | Sir Thiollier		Slain by the Tarnished, assisted by Sanguine Noble Nataan, Sir Ansbach or Sir Thiollier	
Dung Eater	The Tarnished		Slain by the Tarnished (revived)	temporary
Dung Eater	The Tarnished	Dung Eater	Defiled by the Tarnished using the Seedbed Curse, on his own orders	
Edgar the Revenger	The Tarnished		Slain by the Tarnished	
Elden Beast	The Tarnished		Slain by the Tarnished	
Elder Dragon Greyoll	The Tarnished		Slain by the Tarnished	
Elemer of the Briar	The Tarnished		Slain by the Tarnished	
Eleonora, Violet Bloody Finger	The Tarnished		Slain by the Tarnished	
Ensha of the Royal Remains	The Tarnished		Slain by the Tarnished	
Erdtree Avatar (East Liurnia)	The Tarnished		Slain by the Tarnished	
Erdtree Avatar (Mountaintops of the Giants)	The Tarnished		Slain by the Tarnished	
Erdtree Avatar (Weeping Peninsula)	The Tarnished		Slain by the Tarnished	
Erdtree Avatar (West Liurnia)	The Tarnished		Slain by the Tarnished	
Erdtree Burial Watchdog (Impaler's Catacombs)	The Tarnished		Slain by the Tarnished	
Erdtree Burial Watchdog (Scepter)	The Tarnished		Slain by the Tarnished	
Erdtree Burial Watchdog (Stormfoot Catacombs)	The Tarnished		Slain by the Tarnished	
Erdtree Burial Watchdog (Sword)	The Tarnished		Slain by the Tarnished	
Erdtree Burial Watchdog (Wyndham Catacombs)	The Tarnished		Slain by the Tarnished	
Errant Sorcerer Wilhelm	The Tarnished | Knight Bernahl	Tanith, Volcano Manor Proprietress	Slain by the Tarnished, assisted by Knight Bernahl, on orders from Tanith, Volcano Manor Proprietress	
Esgar, Priest of Blood	The Tarnished		Slain by the Tarnished	
Fallingstar Beast (Altus Plateau)	The Tarnished		Slain by the Tarnished	
Fallingstar Beast (Finger Ruins of Dheo)	The Tarnished		Slain by the Tarnished	
Fallingstar Beast (Sellia Crystal Tunnel)	The Tarnished		Slain by the Tarnished	
Fell Twin (Axe)	The Tarnished		Slain by the Tarnished	
Fell Twin (Cleaver)	The Tarnished		Slain by the Tarnished	
Festering Fingerprint Vyke	The Tarnished		Slain by the Tarnished (revived)	temporary
Fia's First Champion			Died from unknown causes (returned as a spirit)	physical
Fia's Second Champion			Died from unknown causes (returned as a spirit)	physical
Fia's Third Champion			Died from unknown causes (returned as a spirit)	physical
Fire Giant	The Tarnished		Slain by the Tarnished	
